,CO2 (ppm),CH4 (ppb),N2O (ppb),CF4,C2F6,C6F14,HFC23,HFC32,HFC43_10,HFC125,HFC134a,HFC143a,HFC227ea,HFC245fa,SF6,CFC_11,CFC_12,CFC_113,CFC_114,CFC_115,CARB_TET,MCF,HCFC_22,HCFC_141B,HCFC_142B,HALON1211,HALON1202,HALON1301,HALON2402,CH3BR,CH3CL
1816,279.9029469329522,774.4890540785963,274.04339071300507,34.49483462555403,0.0,0.0,0.0,0.00012297277527127564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1817,279.9319624626092,774.2833389458962,274.0622428390884,34.49479218930598,0.0,0.0,0.0,0.0001231486150150605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1818,279.96887209869885,774.1241478334108,274.0816428597733,34.49474975390665,0.0,0.0,0.0,0.0001232936921173833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1819,280.0145788730274,773.9610679687648,274.1015999293348,34.494707319356024,0.0,0.0,0.0,0.00012341338841109566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1820,280.06688383212446,773.7910490266966,274.1221435153532,34.49466488565408,0.0,0.0,0.0,0.00012893453467327558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1821,280.12409115634017,773.6175769517558,274.14330311845947,34.494622452800805,0.0,0.0,0.0,0.00013891216325793656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1822,280.18464940199755,773.390585915898,274.1651082592452,34.49458002079617,0.0,0.0,0.0,0.00014714423532514092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1823,280.2478174718396,773.0838780002015,274.18762876191454,34.494537589640174,0.0,0.0,0.0,0.00015393613080858548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1824,280.312707843228,772.7176790319311,274.21087374827744,34.49449515933279,0.0,0.0,0.0,0.00015953980432862312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1825,280.3791765427248,772.3749557371056,274.23487267935195,34.494452729874006,0.0,0.0,0.0,0.00016416313179232043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1826,280.4466837966018,772.0377164145102,274.2596550620782,34.4944103012638,0.0,0.0,0.0,0.0001679776218335665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1827,280.51567471672394,771.6909993936824,274.28529073275666,34.494367873502156,0.0,0.0,0.0,0.00017112477815961426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1828,280.58554485405773,771.4422340234187,274.31180897671544,34.49432544658906,0.0,0.0,0.0,0.00017372134882397152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1829,280.65617551632806,771.2100544843976,274.3392190071736,34.49428302052449,0.0,0.0,0.0,0.00017586365715457412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1830,280.7305217683138,770.9072336144635,274.3675302691466,34.49424059530844,0.0,0.0,0.0,0.0001776311749989249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1831,280.8043145264704,770.5243899242569,274.3967725826508,34.494198170940884,0.0,0.0,0.0,0.00017908947084059756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1832,280.87443492572424,770.0277751052715,274.4270362652343,34.49415574742181,0.0,0.0,0.0,0.00018029264215150496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1833,280.9440022451939,769.5055730675624,274.45835081465304,34.49411332475119,0.0,0.0,0.0,0.00018128532221135498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1834,281.0153778167913,769.065202442374,274.49072566762345,34.49407090292902,0.0,0.0,0.0,0.00018210433583999664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1835,281.08930175444146,768.6473225210738,274.5241906679755,34.494028481955276,0.0,0.0,0.0,0.00018278006546430494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1836,281.1508139603384,768.1780319356062,274.55877576639915,34.49398606182994,0.0,0.0,0.0,0.00018333757819571716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1837,281.21734794156737,767.7227497461122,274.59455129056323,34.493943642553006,0.0,0.0,0.0,0.00018379755572889823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1838,281.29051893828444,767.313601122511,274.63156722232105,34.49390122412444,0.0,0.0,0.0,0.00018417706155739367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1839,281.3690073234145,766.9163390780097,274.6698332200521,34.49385880654424,0.0,0.0,0.0,0.00018449017396718022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1840,281.45206131562895,766.5067674470712,274.709540476281,34.49381638981238,0.0,0.0,0.0,0.00018474850828987304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1841,281.5381593621137,766.1353632097937,274.7540407773541,34.493773973928846,0.0,0.0,0.0,0.00018496164778928367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1842,281.62725930661696,765.7769391501455,274.8077864878088,34.49373155889362,0.0,0.0,0.0,0.00018513749916565316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1843,281.7181928086707,765.3407668654921,274.86691670474295,34.49368914470669,0.0,0.0,0.0,0.0001852825858654744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1844,281.8114581645733,764.8476628346646,274.9193659824235,34.49364673136804,0.0,0.0,0.0,0.00018540229007763133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1845,281.90763398105184,764.3916755695806,274.95147693769434,34.493604318877644,0.0,0.0,0.0,0.00019092344287294742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1846,282.0046892297101,763.9368922440397,274.9584854845772,34.49356190723549,0.0,0.0,0.0,0.00020090107684779182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1847,282.1040011276653,763.4673103377415,274.950771211,34.49351949644156,0.0,0.0,0.0,0.00020913315336218297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1848,282.2037305048242,763.0571197456713,274.9399981443184,34.49347708649583,0.0,0.0,0.0,0.0002159250525147922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
